ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YBL087C,GFP,-,-,0.55,0
YBL088C,None,-,-,0.77,0
YBL089W,None,-,-,0.24,0
YBL090W,Both,1.27E+03,-,0.46,0
YBL091C,Both,1.08E+03,-,0.78,0
YBL091C-A,TAP,3.58E+02,-,0.32,0
YBL092W,None,-,-,0.46,0
YBL093C,Both,6.12E+03,-,0.51,0
YBL094C,None,-,-,0.21,1
YBL095W,Both,7.04E+02,-,0.51,0
YBL096C,None,-,-,0.07,1
YBL097W,Both,7.04E+02,-,0.74,0
YBL098W,Both,5.56E+02,-,0.71,0
YBL099W,Both,4.15E+04,-,0.67,0
YBL100C,None,-,-,0.23,1
YBL101C,Both,7.99E+02,-,0.7,0
YBL102W,Both,2.79E+02,-,0.29,0
YBL103C,Both,1.05E+03,-,0.73,0
YBL104C,Both,1.84E+02,-,0.78,0
YBL105C,GFP,-,-,0.86,0
YBL106C,None,-,-,0.74,0
YBL107C,Both,7.68E+02,-,0.48,0
YBL108C-A,None,-,-,0.38,0
YBL108W,None,-,-,0.05,1
YBL109W,None,-,-,-0.12,1
YBL111C,Both,2.79E+02,-,0.48,0
YBL112C,None,-,-,0.18,1
YBL113C,None,-,-,0.27,0
YBR001C,Both,2.50E+03,-,0.72,0
YBR002C,Both,8.97E+03,-,0.5,0
YBR003W,Both,1.56E+03,-,0.72,0
YBR004C,None,-,-,0.34,0
YBR005W,GFP,-,-,0.28,0
YBR006W,Both,%,-,0.77,0
YBR007C,Both,3.77E+02,-,0.68,0
YBR008C,GFP,-,-,0.5,0
YBR009C,Both,5.24E+05,-,0.47,0
YBR010W,Both,2.13E+05,-,0.55,0
YBR011C,Both,6.84E+04,-,0.72,0
YBR012C,None,-,-,0.33,0
YBR013C,None,-,-,0.26,0
YBR014C,GFP,-,-,0.7,0
YBR015C,Both,6.73E+03,-,0.71,0
YBR016W,Both,1.76E+03,-,0.11,0
YBR017C,Both,2.13E+03,-,0.79,0
YBR018C,None,-,-,0.75,0
YBR019C,None,-,-,0.79,0
YBR020W,None,-,-,0.72,0
YBR021W,None,-,-,0.55,0
YBR022W,TAP,1.17E+03,-,0.44,0
YBR023C,Both,1.51E+03,-,0.81,0
YBR024W,TAP,1.48E+03,-,0.68,0
YBR025C,Both,3.68E+04,-,0.76,0
YBR026C,Both,1.56E+03,-,0.73,0
YBR027C,None,-,-,-0.13,1
YBR028C,Both,1.47E+03,-,0.81,0
YBR029C,None,-,-,0.55,0
YBR030W,Both,7.88E+03,-,0.78,0
YBR031W,GFP,-,-,0.56,0
YBR032W,None,-,-,0.19,1
YBR033W,None,-,-,0.7,0
YBR034C,Both,3.76E+04,-,0.72,0
YBR035C,None,-,-,0.69,0
YBR036C,Both,#,-,0.45,0
YBR037C,Both,2.55E+03,-,0.5,0
YBR038W,None,-,-,0.78,0
YBR039W,Both,2.81E+04,-,0.75,0
YBR040W,None,-,-,0.35,0
YBR041W,Both,1.69E+04,-,0.74,0
YBR042C,Both,2.01E+03,-,0.59,0
YBR043C,Both,2.79E+02,-,0.69,0
YBR044C,None,-,-,0.67,0
YBR045C,None,-,-,0.69,0
YBR046C,GFP,-,-,0.71,0
YBR047W,Both,2.16E+03,-,0.52,0
YBR048W,Both,1.20E+03,-,0.42,0
YBR049C,Both,7.51E+03,5.31E+02,0.8,0
YBR050C,None,-,-,0.53,0
YBR051W,None,-,-,0.1,1
YBR052C,Both,7.06E+03,-,0.61,0
YBR053C,TAP,4.19E+03,-,0.69,0
YBR054W,Both,1.95E+03,-,0.61,0
YBR055C,Both,2.25E+03,2.95E+02,0.74,0
YBR056W,Both,1.96E+03,-,0.73,0
YBR057C,Both,3.40E+03,-,0.62,0
YBR058C,Both,3.04E+03,-,0.8,0
YBR058C-A,GFP,-,-,0.15,0
YBR059C,Both,3.00E+03,-,0.75,0
YBR060C,Both,1.70E+03,8.25E+01,0.75,0
YBR061C,Both,4.11E+03,-,0.67,0
YBR062C,TAP,1.95E+02,-,0.5,0
YBR063C,None,-,-,0.56,0
YBR064W,None,-,-,0.22,1
YBR065C,Both,4.26E+03,-,0.53,0
YBR066C,Both,7.04E+02,-,0.37,0
YBR067C,Both,3.56E+04,-,0.48,0
YBR068C,Both,8.66E+03,-,0.58,0
YBR069C,Both,5.04E+02,-,0.58,0
YBR070C,Both,3.39E+02,-,0.34,0
YBR071W,Both,1.20E+03,-,0.44,0
YBR072W,Both,1.93E+04,-,0.7,0
YBR073W,Both,1.27E+03,-,0.78,0
YBR074W,None,-,-,0.59,0
YBR075W,None,-,-,0.7,0
YBR076W,None,-,-,0.49,0
YBR077C,Both,3.49E+03,-,0.53,0
YBR078W,None,-,-,0.54,0
YBR079C,Both,5.27E+04,4.35E+03,0.78,0
YBR080C,Both,5.92E+03,1.23E+03,0.79,0
YBR081C,Both,2.36E+03,-,0.83,0
YBR082C,Both,1.35E+04,-,0.52,0
YBR083W,Both,5.30E+02,-,0.64,0
YBR084C-A,Both,9.77E+04,-,0.53,0
YBR084W,Both,1.14E+04,-,0.81,0
YBR085C-A,GFP,-,-,0.63,0
YBR085W,Both,1.08E+03,-,0.58,0
YBR086C,Both,#,-,0.74,0
YBR087W,Both,5.04E+03,-,0.55,0
YBR088C,GFP,-,-,0.7,0
YBR089C-A,Both,4.59E+03,-,0.6,0
YBR089W,None,-,-,0.28,0
YBR090C,GFP,-,-,0.12,0
YBR091C,None,-,-,0.14,1
YBR092C,Both,9.52E+02,-,0.68,0
YBR093C,Both,1.11E+03,-,0.64,0
YBR094W,Both,1.77E+03,-,0.86,0
YBR095C,Both,1.63E+03,-,0.79,0
YBR096W,Both,1.95E+03,-,0.46,0
YBR097W,Both,2.79E+02,-,0.75,0
YBR098W,None,-,-,0.58,0
YBR099C,None,-,-,0.06,1
YBR100W,Both,%,-,0.46,0
YBR101C,Both,1.31E+04,-,0.78,0
YBR102C,GFP,-,-,0.76,0
YBR103C-A,None,-,-,-0.08,1
YBR103W,Both,1.62E+03,-,0.68,0
YBR104W,Both,1.05E+03,-,0.48,0
YBR105C,Both,6.65E+03,-,0.57,0
YBR106W,Both,6.18E+04,-,0.59,0
YBR107C,Both,1.25E+02,-,0.52,0
YBR108W,None,-,-,0.41,0
YBR109C,GFP,-,-,0.73,0
YBR110W,Both,1.89E+03,-,0.64,0
YBR111C,Both,7.33E+03,-,0.74,0
YBR112C,Both,3.89E+03,-,0.52,0
YBR113W,None,-,-,0.16,0
YBR114W,Both,3.58E+02,-,0.75,0
YBR115C,Both,7.43E+03,-,0.84,0
YBR116C,None,-,-,0.07,1
YBR117C,Both,1.49E+02,-,0.77,0
YBR118W,Both,4.50E+02,-,0.64,0
YBR119W,Both,2.95E+03,-,0.53,0
YBR120C,Both,2.13E+03,-,0.56,0
YBR121C,Both,9.84E+04,1.21E+04,0.84,0
YBR122C,Both,%,-,0.66,0
YBR123C,Both,1.58E+04,1.08E+03,0.79,0
YBR124W,None,-,-,0.23,1
YBR125C,Both,1.49E+02,-,0.6,0
YBR126C,Both,1.09E+04,-,0.58,0
YBR127C,Both,1.31E+05,-,0.78,0
YBR128C,None,-,-,0.35,0
YBR129C,Both,1.56E+03,-,0.68,0
YBR130C,Both,1.01E+03,-,0.66,0
YBR131W,Both,2.87E+03,-,0.63,0
YBR132C,GFP,-,-,0.57,0
YBR133C,Both,1.18E+03,-,0.61,0
YBR134W,None,-,-,0.08,1
YBR135W,Both,8.78E+03,-,0.32,0
YBR136W,None,-,-,0.81,0
YBR137W,Both,1.20E+03,-,0.62,0
YBR138C,Both,1.95E+02,-,0.62,0
YBR139W,Both,1.42E+03,-,0.7,0
YBR140C,GFP,-,-,0.79,0
YBR141C,Both,6.23E+02,-,0.38,0
YBR142W,Both,9.81E+02,-,0.88,0
YBR143C,Both,1.31E+04,-,0.82,0
YBR144C,None,-,-,0.21,1
YBR145W,Both,1.31E+03,-,0.65,0
YBR146W,None,-,-,0.61,0
YBR147W,None,-,-,0.52,0
YBR148W,None,-,-,0.76,0
YBR149W,Both,3.02E+04,-,0.75,0
YBR150C,Both,5.73E+02,-,0.71,0
YBR151W,Both,2.00E+03,-,0.7,0
YBR152W,Both,2.51E+03,-,0.69,0
YBR153W,None,-,-,0.46,0
YBR154C,None,-,-,0.69,0
YBR155W,Both,6.72E+02,-,0.82,0
YBR156C,Both,3.19E+02,-,0.6,0
YBR157C,None,-,-,0.32,0
YBR158W,Both,2.02E+03,-,0.67,0
YBR159W,Both,4.19E+04,-,0.7,0
YBR160W,Both,6.67E+03,-,0.63,0
YBR161W,Both,1.95E+02,-,0.47,0
YBR162C,Both,1.23E+04,-,0.63,0
YBR162W-A,Both,8.46E+02,-,0.48,0
YBR163W,Both,1.42E+03,-,0.68,0
YBR164C,Both,5.19E+03,-,0.64,0
YBR165W,None,-,-,0.34,0
YBR166C,Both,2.18E+03,-,0.78,0
YBR167C,Both,%,-,0.57,0
YBR168W,Both,#,-,0.47,0
YBR169C,Both,6.30E+03,-,0.87,0
YBR170C,Both,1.05E+03,-,0.71,0
YBR171W,Both,7.82E+03,-,0.63,0
YBR172C,Both,4.86E+02,-,0.74,0
YBR173C,Both,2.74E+03,-,0.49,0
YBR174C,None,-,-,0.17,1
YBR175W,Both,#,-,0.28,0
YBR176W,Both,1.42E+03,-,0.68,0
YBR177C,Both,2.55E+03,-,0.73,0
YBR178W,None,-,-,-0.02,1
YBR179C,Both,1.01E+03,-,0.81,0
YBR180W,None,-,-,0.52,0
YBR181C,Both,3.88E+04,-,0.63,0
YBR182C,None,-,-,0.45,0
YBR183W,None,-,-,0.27,0
YBR184W,None,-,-,0.58,0
YBR185C,Both,2.72E+03,-,0.6,0
YBR186W,None,-,-,0.51,0
YBR187W,Both,2.17E+03,-,0.53,0
YBR188C,Both,1.43E+03,-,0.45,0
YBR189W,Both,6.33E+04,-,0.64,0
YBR190W,None,-,-,0.29,0
YBR191W,GFP,-,-,0.54,0
YBR191W-A,None,-,-,0.03,1
YBR192W,None,-,-,0.62,0
YBR193C,Both,9.37E+02,-,0.58,0
YBR194W,Both,%,-,0.56,0
YBR195C,Both,1.49E+02,-,0.61,0
YBR196C,Both,9.16E+04,3.42E+04,0.66,0
YBR197C,Both,1.36E+03,-,0.45,0
YBR198C,Both,1.48E+04,2.03E+02,0.8,0
YBR199W,Both,5.24E+03,-,0.65,0
YBR200W,Both,6.49E+03,-,0.8,0
YBR201W,TAP,2.38E+02,-,0.25,0
YBR202W,Both,1.66E+02,-,0.84,0
YBR203W,None,-,-,0.65,0
YBR204C,None,-,-,0.61,0
YBR205W,Both,7.04E+02,-,0.49,0
YBR206W,None,-,-,0.04,1
YBR207W,Both,4.86E+02,-,0.63,0
YBR208C,Both,9.52E+02,-,0.83,0
YBR209W,None,-,-,0.18,1
YBR210W,None,-,-,0.23,0
YBR211C,Both,1.63E+03,-,0.58,0
YBR212W,Both,1.54E+03,-,0.46,0
YBR213W,None,-,-,0.24,0
YBR214W,Both,2.84E+03,-,0.51,0
YBR215W,Both,2.38E+02,-,0.74,0
YBR216C,Both,3.06E+03,-,0.75,0
YBR217W,None,-,-,0.45,0
YBR218C,Both,1.70E+04,-,0.78,0
YBR219C,None,-,-,-0.17,1
YBR220C,None,-,-,0.26,0
YBR221C,Both,9.97E+03,-,0.75,0
YBR222C,Both,8.77E+03,-,0.64,0
YBR223C,Both,2.13E+03,-,0.58,0
YBR224W,None,-,-,-0.14,1
YBR225W,Both,6.23E+02,-,0.72,0
YBR226C,None,-,-,0.14,1
YBR227C,Both,1.09E+04,-,0.81,0
YBR228W,None,-,-,0.39,0
YBR229C,TAP,2.38E+02,-,0.79,0
YBR230C,Both,4.75E+03,-,0.37,0
YBR231C,Both,1.68E+03,-,0.54,0
YBR232C,None,-,-,0.2,1
YBR233W,Both,1.59E+03,-,0.62,0
YBR233W-A,Both,4.68E+02,-,0.43,0
YBR234C,Both,#,-,0.66,0
YBR235W,Both,%,-,0.68,0
YBR236C,GFP,-,-,0.8,0
YBR237W,Both,3.58E+02,-,0.78,0
YBR238C,Both,2.08E+03,-,0.69,0
YBR239C,Both,8.55E+01,-,0.41,0
YBR240C,None,-,-,0.18,0
YBR241C,Both,#,-,0.2,0
YBR242W,Both,2.73E+03,-,0.64,0
YBR243C,None,-,-,0.44,0
YBR244W,Both,2.01E+03,-,0.54,0
YBR245C,Both,1.50E+03,-,0.87,0
YBR246W,TAP,2.64E+03,-,0.5,0
YBR247C,Both,2.16E+04,2.96E+03,0.87,0
YBR248C,Both,1.18E+04,-,0.76,0
YBR249C,Both,2.63E+04,-,0.71,0
YBR250W,None,-,-,0.69,0
YBR251W,Both,6.68E+03,-,0.66,0
YBR252W,Both,4.34E+03,-,0.48,0
YBR253W,Both,2.18E+03,-,0.39,0
YBR254C,Both,1.20E+03,-,0.39,0
YBR255W,Both,3.96E+02,-,0.59,0
YBR256C,Both,7.30E+03,-,0.49,0
YBR257W,None,-,-,0.49,0
YBR258C,Both,1.52E+03,-,0.65,0
YBR259W,Both,%,-,0.67,0
YBR260C,Both,1.50E+03,-,0.79,0
YBR261C,Both,3.06E+03,-,0.55,0
YBR262C,Both,2.55E+03,-,0.26,0
YBR263W,Both,1.77E+04,-,0.71,0
YBR264C,Both,1.36E+03,-,0.34,0
YBR265W,Both,7.70E+03,-,0.61,0
YBR266C,TAP,3.39E+02,-,0.08,0
YBR267W,Both,8.30E+02,-,0.66,0
YBR268W,Both,1.10E+03,-,0.18,0
YBR269C,GFP,-,-,0.33,0
YBR270C,None,-,-,0.48,0
YBR271W,Both,2.17E+02,-,0.58,0
YBR272C,Both,4.68E+02,-,0.73,0
YBR273C,Both,2.19E+03,-,0.7,0
YBR274W,Both,2.53E+03,-,0.75,0
YBR275C,Both,%,-,0.75,0
YBR276C,None,-,-,0.66,0
YBR277C,None,-,-,0.12,1
YBR278W,Both,7.84E+02,-,0.61,0
YBR279W,Both,1.04E+03,-,0.81,0
YBR280C,None,-,-,0.6,0
YBR281C,Both,1.94E+03,-,0.8,0
YBR282W,Both,2.25E+03,-,0.36,0
YBR283C,Both,7.04E+02,-,0.61,0
YBR284W,None,-,-,0.62,0
YBR285W,None,-,-,0.55,0
YBR286W,Both,4.74E+03,-,0.74,0
YBR287W,Both,6.44E+03,-,0.61,0
YBR288C,Both,3.41E+03,-,0.67,0
YBR289W,Both,2.17E+02,-,0.37,0
YBR290W,Both,3.07E+03,-,0.59,0
YBR291C,GFP,-,-,0.55,0
YBR292C,None,-,-,0.22,1
YBR293W,None,-,-,0.21,0
YBR294W,None,-,-,0.72,0
YBR295W,None,-,-,0.64,0
YBR296C,GFP,-,-,0.63,0
YBR297W,None,-,-,0.55,0
YBR298C,None,-,-,0.67,0
YBR299W,TAP,4.03E+03,-,0.8,0
YBR300C,None,-,-,-0.09,1
YBR301W,None,-,-,0.48,0
YBR302C,Both,%,-,0.37,0
YCL001W,Both,2.84E+03,-,0.56,0
YCL001W-A,None,-,-,0.54,0
YCL001W-B,None,-,-,0.39,0
YCL002C,None,-,-,0.11,1
YCL004W,None,-,-,0.63,0
YCL005W,Both,1.49E+02,-,0.12,0
YCL007C,None,-,-,0.17,0
YCL008C,TAP,1.36E+03,-,0.23,0
YCL009C,Both,1.58E+04,-,0.46,0
YCL010C,Both,1.75E+03,-,0.51,0
YCL011C,Both,2.54E+03,-,0.61,0
YCL014W,Both,#,-,0.82,0
YCL016C,Both,1.66E+03,-,0.52,0
YCL017C,Both,5.04E+02,-,0.73,0
YCL018W,None,-,-,0.72,0
YCL021W-A,None,-,-,0.25,0
YCL022C,None,-,-,0.07,1
YCL023C,None,-,-,-0.02,1
YCL024W,Both,5.38E+02,-,0.75,0
YCL025C,Both,2.11E+04,-,0.58,0
YCL026C-A,GFP,-,-,0.58,0
YCL027C-A,TAP,%,-,0.61,0
YCL027W,GFP,-,-,0.49,0
YCL028W,Both,1.14E+03,-,0.39,0
YCL029C,Both,3.00E+02,-,0.6,0
YCL030C,Both,5.21E+02,-,0.82,0
YCL031C,Both,2.61E+03,-,0.68,0
YCL032W,Both,1.67E+03,-,0.55,0
YCL033C,TAP,7.99E+02,-,0.3,0
YCL034W,Both,%,-,0.36,0
YCL035C,Both,3.03E+03,-,0.6,0
YCL036W,None,-,-,0.43,0
YCL037C,Both,8.43E+03,-,0.71,0
YCL038C,None,-,-,0.41,0
YCL039W,Both,1.20E+03,-,0.45,0
YCL040W,Both,2.11E+04,-,0.46,0
YCL041C,None,-,-,-0.21,1
YCL042W,None,-,-,-0.13,1
YCL043C,Both,%,-,0.65,0
YCL044C,Both,3.41E+03,-,0.35,0
YCL045C,Both,2.84E+03,-,0.69,0
YCL046W,None,-,-,0.34,0
YCL047C,TAP,8.30E+02,-,0.5,0
YCL048W,None,-,-,0.69,0
YCL049C,TAP,6.56E+02,-,0.55,0
YCL050C,Both,1.96E+04,-,0.76,0
YCL051W,None,-,-,0.61,0
YCL052C,Both,4.93E+03,-,0.69,0
YCL054W,None,-,-,0.86,0
YCL055W,Both,1.69E+03,-,0.65,0
YCL056C,GFP,-,-,0.22,0
YCL057W,Both,8.91E+03,-,0.81,0
YCL058C,None,-,-,0.04,1
YCL059C,Both,4.34E+03,-,0.74,0
YCL061C,Both,7.21E+02,-,0.82,0
YCL063W,TAP,#,-,0.58,0
YCL064C,Both,3.66E+04,-,0.7,0
YCL065W,None,-,-,-0.14,1
YCL066W,None,-,-,0.39,0
YCL067C,None,-,-,0.51,0
YCL068C,None,-,-,0.18,0
YCL069W,None,-,-,0.42,0
YCL073C,None,-,-,0.46,0
YCL075W,None,-,-,0.18,1
YCL076W,None,-,-,0.56,0
YCR001W,None,-,-,0.04,1
YCR002C,Both,1.41E+04,-,0.72,0
YCR003W,Both,1.69E+03,-,0.55,0
YCR004C,Both,1.46E+04,-,0.66,0
YCR005C,Both,2.31E+03,-,0.79,0
YCR006C,None,-,-,-0.25,1
YCR007C,None,-,-,0.62,0
YCR008W,TAP,1.03E+03,-,0.72,0
YCR009C,Both,7.39E+03,-,0.76,0
YCR010C,None,-,-,0.56,0
YCR011C,Both,3.39E+02,-,0.74,0
YCR012W,Both,3.14E+05,1.32E+05,0.65,0
YCR013C,None,-,-,0.27,0
YCR014C,None,-,-,0.74,0
YCR015C,None,-,-,0.65,0
YCR016W,Both,1.85E+03,-,0.74,0
YCR017C,GFP,-,-,0.63,0
YCR018C,Both,2.10E+03,-,0.47,0
YCR018C-A,GFP,-,-,0.11,0
YCR019W,None,-,-,0.52,0
YCR020C,Both,1.95E+02,-,0.62,0
YCR020C-A,TAP,2.14E+03,-,0.35,0
YCR020W-B,Both,3.55E+03,-,0.4,0
YCR021C,Both,7.80E+03,-,0.63,0
YCR022C,None,-,-,-0.11,1
YCR023C,Both,%,-,0.59,0
YCR024C,Both,7.84E+02,-,0.66,0
YCR024C-A,Both,1.24E+05,-,0.36,0
YCR025C,None,-,-,-0.16,1
YCR026C,TAP,3.42E+03,-,0.66,0
YCR027C,Both,1.60E+03,-,0.48,0
YCR028C,GFP,-,-,0.5,0
YCR028C-A,Both,3.06E+03,-,0.56,0
YCR030C,Both,4.28E+03,-,0.76,0
YCR031C,TAP,2.96E+04,-,0.56,0
YCR032W,None,-,-,0.71,0
YCR033W,Both,3.96E+02,-,0.68,0
YCR034W,Both,3.51E+03,-,0.43,0
YCR035C,Both,3.18E+03,-,0.69,0
YCR036W,Both,1.78E+03,-,0.72,0
YCR037C,Both,5.04E+02,-,0.82,0
YCR038C,Both,2.11E+03,-,0.4,0
